2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:43:00,428.Netflix_Producer.INFO  [x] Sent b'7/18/2002,1.117143035'
2023-10-03 15:43:00,433.Netflix_Producer.INFO  [x] Sent b'7/18/2002,2899400'
2023-10-03 15:43:01,453.Netflix_Producer.INFO  [x] Sent b'7/19/2002,1.159999967'
2023-10-03 15:43:01,462.Netflix_Producer.INFO  [x] Sent b'7/19/2002,1.152856946'
2023-10-03 15:43:01,470.Netflix_Producer.INFO  [x] Sent b'7/19/2002,1792000'
2023-10-03 15:43:02,486.Netflix_Producer.INFO  [x] Sent b'7/22/2002,1.170714021'
2023-10-03 15:43:02,491.Netflix_Producer.INFO  [x] Sent b'7/22/2002,1.135714054'
2023-10-03 15:43:02,497.Netflix_Producer.INFO  [x] Sent b'7/22/2002,1993600'
2023-10-03 15:43:03,509.Netflix_Producer.INFO  [x] Sent b'7/23/2002,1.146428943'
2023-10-03 15:43:03,515.Netflix_Producer.INFO  [x] Sent b'7/23/2002,1.176429033'
2023-10-03 15:43:03,520.Netflix_Producer.INFO  [x] Sent b'7/23/2002,1577800'
2023-10-03 15:43:04,536.Netflix_Producer.INFO  [x] Sent b'7/24/2002,1.114285946'
2023-10-03 15:43:04,542.Netflix_Producer.INFO  [x] Sent b'7/24/2002,1.146428943'
2023-10-03 15:43:04,548.Netflix_Producer.INFO  [x] Sent b'7/24/2002,3355800'
2023-10-03 15:43:05,561.Netflix_Producer.INFO  [x] Sent b'7/25/2002,1.036429048'
2023-10-03 15:43:05,571.Netflix_Producer.INFO  [x] Sent b'7/25/2002,1.125'
2023-10-03 15:43:05,577.Netflix_Producer.INFO  [x] Sent b'7/25/2002,4755800'
2023-10-03 15:43:06,587.Netflix_Producer.INFO  [x] Sent b'7/26/2002,0.871429026'
2023-10-03 15:43:06,594.Netflix_Producer.INFO  [x] Sent b'7/26/2002,1.049999952'
2023-10-03 15:43:06,598.Netflix_Producer.INFO  [x] Sent b'7/26/2002,7046200'
2023-10-03 15:43:07,608.Netflix_Producer.INFO  [x] Sent b'7/29/2002,0.876429021'
2023-10-03 15:43:07,615.Netflix_Producer.INFO  [x] Sent b'7/29/2002,0.896429002'
2023-10-03 15:43:07,622.Netflix_Producer.INFO  [x] Sent b'7/29/2002,3260600'
2023-10-03 15:43:08,633.Netflix_Producer.INFO  [x] Sent b'7/30/2002,0.914286017'
2023-10-03 15:43:08,644.Netflix_Producer.INFO  [x] Sent b'7/30/2002,0.893571019'
2023-10-03 15:43:08,649.Netflix_Producer.INFO  [x] Sent b'7/30/2002,3777200'
2023-10-03 15:43:09,659.Netflix_Producer.INFO  [x] Sent b'7/31/2002,0.953571022'
2023-10-03 15:43:09,665.Netflix_Producer.INFO  [x] Sent b'7/31/2002,0.928570986'
2023-10-03 15:43:09,673.Netflix_Producer.INFO  [x] Sent b'7/31/2002,3333400'
2023-10-03 15:43:10,688.Netflix_Producer.INFO  [x] Sent b'8/1/2002,0.891429007'
2023-10-03 15:43:10,699.Netflix_Producer.INFO  [x] Sent b'8/1/2002,0.949999988'
2023-10-03 15:43:10,704.Netflix_Producer.INFO  [x] Sent b'8/1/2002,4529000'
2023-10-03 15:43:11,714.Netflix_Producer.INFO  [x] Sent b'8/2/2002,0.777857006'
2023-10-03 15:43:11,723.Netflix_Producer.INFO  [x] Sent b'8/2/2002,0.886429012'
2023-10-03 15:43:11,729.Netflix_Producer.INFO  [x] Sent b'8/2/2002,6655600'
2023-10-03 15:43:12,743.Netflix_Producer.INFO  [x] Sent b'8/5/2002,0.774999976'
2023-10-03 15:43:12,755.Netflix_Producer.INFO  [x] Sent b'8/5/2002,0.77857101'
2023-10-03 15:43:12,761.Netflix_Producer.INFO  [x] Sent b'8/5/2002,3808000'
2023-10-03 15:43:13,784.Netflix_Producer.INFO  [x] Sent b'8/6/2002,0.760713995'
2023-10-03 15:43:13,793.Netflix_Producer.INFO  [x] Sent b'8/6/2002,0.795714021'
2023-10-03 15:43:13,801.Netflix_Producer.INFO  [x] Sent b'8/6/2002,3217200'
2023-10-03 15:43:14,827.Netflix_Producer.INFO  [x] Sent b'8/7/2002,0.793570995'
2023-10-03 15:43:14,838.Netflix_Producer.INFO  [x] Sent b'8/7/2002,0.760713995'
2023-10-03 15:43:14,844.Netflix_Producer.INFO  [x] Sent b'8/7/2002,2758000'
2023-10-03 15:43:15,854.Netflix_Producer.INFO  [x] Sent b'8/8/2002,0.796428978'
2023-10-03 15:43:15,861.Netflix_Producer.INFO  [x] Sent b'8/8/2002,0.796428978'
2023-10-03 15:43:15,867.Netflix_Producer.INFO  [x] Sent b'8/8/2002,2283400'
2023-10-03 15:43:16,888.Netflix_Producer.INFO  [x] Sent b'8/9/2002,0.787142992'
2023-10-03 15:43:16,899.Netflix_Producer.INFO  [x] Sent b'8/9/2002,0.798570991'
2023-10-03 15:43:16,906.Netflix_Producer.INFO  [x] Sent b'8/9/2002,1500800'
2023-10-03 15:43:17,931.Netflix_Producer.INFO  [x] Sent b'8/12/2002,0.757143021'
2023-10-03 15:43:17,942.Netflix_Producer.INFO  [x] Sent b'8/12/2002,0.802856982'
2023-10-03 15:43:17,949.Netflix_Producer.INFO  [x] Sent b'8/12/2002,2130800'
2023-10-03 15:43:18,974.Netflix_Producer.INFO  [x] Sent b'8/13/2002,0.77285701'
2023-10-03 15:43:18,983.Netflix_Producer.INFO  [x] Sent b'8/13/2002,0.767857015'
2023-10-03 15:43:18,990.Netflix_Producer.INFO  [x] Sent b'8/13/2002,1677200'
2023-10-03 15:43:20,000.Netflix_Producer.INFO  [x] Sent b'8/14/2002,0.833571017'
2023-10-03 15:43:20,013.Netflix_Producer.INFO  [x] Sent b'8/14/2002,0.77571398'
2023-10-03 15:43:20,022.Netflix_Producer.INFO  [x] Sent b'8/14/2002,4047400'
2023-10-03 15:43:21,038.Netflix_Producer.INFO  [x] Sent b'8/15/2002,0.882857025'
2023-10-03 15:43:21,048.Netflix_Producer.INFO  [x] Sent b'8/15/2002,0.837143004'
2023-10-03 15:43:21,053.Netflix_Producer.INFO  [x] Sent b'8/15/2002,3263400'
2023-10-03 15:43:22,062.Netflix_Producer.INFO  [x] Sent b'8/16/2002,0.912856996'
2023-10-03 15:43:22,068.Netflix_Producer.INFO  [x] Sent b'8/16/2002,0.892857015'
2023-10-03 15:43:22,074.Netflix_Producer.INFO  [x] Sent b'8/16/2002,1828400'
2023-10-03 15:43:23,084.Netflix_Producer.INFO  [x] Sent b'8/19/2002,0.982142985'
2023-10-03 15:43:23,092.Netflix_Producer.INFO  [x] Sent b'8/19/2002,0.925000012'
2023-10-03 15:43:23,097.Netflix_Producer.INFO  [x] Sent b'8/19/2002,2074800'
2023-10-03 15:43:24,120.Netflix_Producer.INFO  [x] Sent b'8/20/2002,0.946429014'
2023-10-03 15:43:24,127.Netflix_Producer.INFO  [x] Sent b'8/20/2002,0.985000014'
2023-10-03 15:43:24,133.Netflix_Producer.INFO  [x] Sent b'8/20/2002,2539600'
2023-10-03 15:43:25,143.Netflix_Producer.INFO  [x] Sent b'8/21/2002,0.968571007'
2023-10-03 15:43:25,151.Netflix_Producer.INFO  [x] Sent b'8/21/2002,0.952857018'
2023-10-03 15:43:25,158.Netflix_Producer.INFO  [x] Sent b'8/21/2002,2779000'
2023-10-03 15:43:26,169.Netflix_Producer.INFO  [x] Sent b'8/22/2002,0.983570993'
2023-10-03 15:43:26,174.Netflix_Producer.INFO  [x] Sent b'8/22/2002,0.973571002'
2023-10-03 15:43:26,180.Netflix_Producer.INFO  [x] Sent b'8/22/2002,2963800'
2023-10-03 15:43:27,194.Netflix_Producer.INFO  [x] Sent b'8/23/2002,0.993570983'
2023-10-03 15:43:27,204.Netflix_Producer.INFO  [x] Sent b'8/23/2002,0.993570983'
2023-10-03 15:43:27,211.Netflix_Producer.INFO  [x] Sent b'8/23/2002,2406600'
2023-10-03 15:43:28,221.Netflix_Producer.INFO  [x] Sent b'8/26/2002,0.967857003'
2023-10-03 15:43:28,228.Netflix_Producer.INFO  [x] Sent b'8/26/2002,0.996429026'
2023-10-03 15:43:28,234.Netflix_Producer.INFO  [x] Sent b'8/26/2002,2644600'
